ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 4;BSM-MPI+BOOST_compil;;gaussian_box_muller();InBetween;32.979934692383;32.97993850708;20.412872314453;2.51;1.93;1.50;2.55;1;6.67;39.58;12.13;4.83;6.28;8.09;4.75
Loop 18;BSM-MPI+BOOST_compil;;black_scholes_monte_carlo(unsigned long, unsigned long, float, float, float, float, unsigned long);Single;11.659998893738;11.659997940063;7.2169351577759;1.00;1.51;2.95;1.00;1;0.00;36.36;19.00;19.00;12.55;6.45;19.00
Loop 21;BSM-MPI+BOOST_compil;;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();Single;6.7849998474121;6.7849998474121;4.1995635032654;1.00;1.00;4.00;1.75;1;0.00;25.00;1.75;1.75;1.75;0.44;1.00
Loop 19;BSM-MPI+BOOST_compil;;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();Single;3.4749999046326;3.4749999046326;2.1508450508118;1.00;1.00;3.90;6.33;1;0.00;27.50;1.58;1.58;1.58;0.41;0.25
Loop 6;BSM-MPI+BOOST_compil;;gaussian_box_muller();Innermost;1.174999833107;1.1749997138977;0.72726398706436;4.38;1.42;3.71;5.18;2;0.00;27.75;2.38;0.54;1.67;0.64;0.46
Loop 5;BSM-MPI+BOOST_compil;;gaussian_box_muller();Outermost;0.92999988794327;0.92999976873398;0.57562172412872;1.00;NA;NA;2.00;68;NA;NA;0.50;0.50;NA;NA;0.25
Loop 7;BSM-MPI+BOOST_compil;;gaussian_box_muller();InBetween;0.059999991208315;0.059999991208315;0.037136886268854;1.58;1.78;3.17;1.58;37;0.00;33.93;2.38;1.50;1.33;0.75;1.50
Loop 20;BSM-MPI+BOOST_compil;;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();Single;0.034999992698431;0.034999992698431;0.021663183346391;1.00;1.00;3.90;6.33;1;0.00;27.50;1.58;1.58;1.58;0.41;0.25
Loop 14;BSM-MPI+BOOST_compil;;gaussian_box_muller();Innermost;0.029999995604157;0.029999995604157;0.018568443134427;2.06;1.69;3.14;2.06;1;0.00;36.84;4.13;2.00;2.44;1.31;2.00
Loop 10;BSM-MPI+BOOST_compil;;gaussian_box_muller();Innermost;0.00999999884516;0.00999999884516;0.0061894813552499;2.06;1.69;3.14;2.06;1;0.00;36.84;4.13;2.00;2.44;1.31;2.00
